track,album,artist,genre,popularity,explicit,release_date,duration_ms,track_score,duration_min,release_year
BLOODY! - ULTRA SLOWED,BLOODY!,M4GN,phonk,74,False,2024-08-27,139384,37.0,2.3230666666666666,2024
TRIPPIN,TRIPPIN,BUNT.,stutter house,70,False,2024-06-28,202881,35.0,3.38135,2024
Ni un Ki Ki,Ni un Ki Ki,Jey One,dembow,65,False,2024-08-12,105441,32.5,1.75735,2024
sining (feat. Jay R),sining (feat. Jay R),Dionela,opm,82,False,2024-06-07,200000,41.0,3.3333333333333335,2024
Favourite,Romance,Fontaines D.C.,post-punk,73,False,2024-08-23,256066,36.5,4.267766666666667,2024
晴る,晴る,ヨルシカ,j-pop,75,False,2024-01-05,270705,37.5,4.51175,2024
PETITE,Private Suite (Vol. 2),ROA,trap latino,68,True,2024-12-13,140293,34.0,2.338216666666667,2024
777,Private Suite (Vol. 2),ROA,trap latino,68,True,2024-12-13,160574,34.0,2.6762333333333332,2024
FDSR,FDSR,Ryan Castro,reggaeton,74,False,2024-10-10,188181,37.0,3.13635,2024
Pa Tripea,Pa Tripea,Lil Naay,dembow,67,True,2024-09-16,133669,33.5,2.2278166666666666,2024
大展鴻圖(Blueprint Supreme),八方來財(Stacks from All Sides),攬佬SKAI ISYOURGOD,chinese hip hop,73,False,2024-08-20,211677,36.5,3.52795,2024
miau,miau,Young Cister,chilean trap,76,False,2024-06-14,185972,38.0,3.0995333333333335,2024
Europapa,Europapa,Joost,gabber,75,False,2024-02-29,160218,37.5,2.6703,2024
Si Ai - Marshmello & UKAY Remix,Si Ai (Marshmello & UKAY Remix),Tayna,afro house,78,False,2024-08-02,183999,39.0,3.06665,2024
Piel,GOTTI A,Tiago PZK,argentine trap,78,True,2024-07-04,142041,39.0,2.36735,2024
Famax - Edit,Famax,RAFFA GUIDO,afro house,76,False,2024-02-23,213768,38.0,3.5628,2024
Oe Bebé,Oe Bebé,Blessd,reggaeton,73,True,2024-06-05,186463,36.5,3.1077166666666667,2024
"Naina (From ""Crew"")","Naina (From ""Crew"")",Diljit Dosanjh,bhangra,78,False,2024-03-05,180000,39.0,3.0,2024
